Feature Identifier,Feature Name,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = b. Income Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = c. Employment Deprivation Domain; Reference period = 2019; measure type = Score,"English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = d. Education, Skills and Training Domain; Reference period = 2019; measure type = Score",English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = e. Health Deprivation and Disability Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = g. Barriers to Housing and Services Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = h. Living Environment Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = i. Income Deprivation Affecting Children Index (IDACI); Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = j. Income Deprivation Affecting Older People Index (IDAOPI); Reference period = 2019; measure type = Score
http://opendatacommunities.org/id/geography/administration/lsoa/E01001129,Croydon 026D,0.029,0.039,7.029,-1.096,16.741,11.127,0.048,0.034
http://opendatacommunities.org/id/geography/administration/lsoa/E01001130,Croydon 025C,0.296,0.153,30.15,0.0,44.271,14.481,0.346,0.321
http://opendatacommunities.org/id/geography/administration/lsoa/E01001131,Croydon 018C,0.079,0.039,13.248,-0.565,38.924,15.263,0.1,0.157
http://opendatacommunities.org/id/geography/administration/lsoa/E01001132,Croydon 018D,0.051,0.053,10.273,-0.624,22.581,15.14,0.064,0.053
http://opendatacommunities.org/id/geography/administration/lsoa/E01001133,Croydon 026E,0.083,0.06,12.655,-0.584,22.017,18.336,0.111,0.109
http://opendatacommunities.org/id/geography/administration/lsoa/E01001134,Croydon 018E,0.07,0.048,8.774,-0.898,29.832,14.02,0.098,0.096
http://opendatacommunities.org/id/geography/administration/lsoa/E01001135,Croydon 025D,0.067,0.041,10.582,-1.25,21.729,15.912,0.163,0.03
http://opendatacommunities.org/id/geography/administration/lsoa/E01001136,Croydon 007A,0.176,0.118,17.447,0.135,37.21,53.267,0.243,0.196
http://opendatacommunities.org/id/geography/administration/lsoa/E01001137,Croydon 001A,0.141,0.117,5.45,-0.113,29.895,23.535,0.164,0.146
http://opendatacommunities.org/id/geography/administration/lsoa/E01001138,Croydon 001B,0.12,0.075,7.281,-0.422,33.365,23.47,0.183,0.133
http://opendatacommunities.org/id/geography/administration/lsoa/E01001139,Croydon 007B,0.111,0.076,13.492,-0.565,30.752,37.035,0.173,0.138
http://opendatacommunities.org/id/geography/administration/lsoa/E01001140,Croydon 007C,0.136,0.076,15.639,-0.026,34.788,29.5,0.204,0.15
http://opendatacommunities.org/id/geography/administration/lsoa/E01001141,Croydon 008A,0.187,0.128,14.02,-0.121,39.874,25.026,0.241,0.254
http://opendatacommunities.org/id/geography/administration/lsoa/E01001142,Croydon 007D,0.113,0.081,10.026,0.001,27.376,30.594,0.148,0.108
http://opendatacommunities.org/id/geography/administration/lsoa/E01001143,Croydon 008B,0.17,0.115,21.062,0.168,44.562,34.438,0.193,0.277
http://opendatacommunities.org/id/geography/administration/lsoa/E01001144,Croydon 007E,0.207,0.174,21.711,0.616,40.114,38.811,0.234,0.308
http://opendatacommunities.org/id/geography/administration/lsoa/E01001145,Croydon 008C,0.27,0.168,21.104,0.355,38.042,41.14,0.344,0.318
http://opendatacommunities.org/id/geography/administration/lsoa/E01001146,Croydon 006A,0.127,0.091,12.6,-0.491,27.468,35.757,0.149,0.176
http://opendatacommunities.org/id/geography/administration/lsoa/E01001147,Croydon 005A,0.205,0.133,34.34,0.349,37.666,32.489,0.257,0.209
http://opendatacommunities.org/id/geography/administration/lsoa/E01001148,Croydon 005B,0.156,0.084,11.819,0.202,28.647,39.932,0.224,0.218
http://opendatacommunities.org/id/geography/administration/lsoa/E01001149,Croydon 006B,0.101,0.07,11.183,-0.345,29.932,24.018,0.131,0.118
http://opendatacommunities.org/id/geography/administration/lsoa/E01001150,Croydon 006C,0.131,0.077,8.183,-0.527,34.476,29.108,0.184,0.16
http://opendatacommunities.org/id/geography/administration/lsoa/E01001151,Croydon 005C,0.22,0.178,31.363,0.639,39.14,37.044,0.203,0.31
http://opendatacommunities.org/id/geography/administration/lsoa/E01001152,Croydon 005D,0.225,0.14,18.303,0.455,37.311,47.465,0.269,0.308
http://opendatacommunities.org/id/geography/administration/lsoa/E01001153,Croydon 006D,0.139,0.093,18.453,-0.391,31.095,32.189,0.192,0.147
http://opendatacommunities.org/id/geography/administration/lsoa/E01001154,Croydon 006E,0.161,0.099,22.01,-0.431,36.731,46.246,0.215,0.153
http://opendatacommunities.org/id/geography/administration/lsoa/E01001155,Croydon 010E,0.281,0.167,23.794,0.927,46.115,30.417,0.27,0.491
http://opendatacommunities.org/id/geography/administration/lsoa/E01001156,Croydon 001C,0.174,0.098,16.509,0.558,39.414,21.362,0.199,0.299
http://opendatacommunities.org/id/geography/administration/lsoa/E01001157,Croydon 002B,0.115,0.072,10.15,-0.471,27.594,25.631,0.158,0.174
http://opendatacommunities.org/id/geography/administration/lsoa/E01001158,Croydon 005E,0.127,0.081,15.799,-0.181,33.638,31.246,0.187,0.127
http://opendatacommunities.org/id/geography/administration/lsoa/E01001159,Croydon 002C,0.093,0.053,6.753,-0.687,35.731,21.627,0.127,0.127
http://opendatacommunities.org/id/geography/administration/lsoa/E01001160,Croydon 002D,0.107,0.064,11.653,-0.545,23.336,19.009,0.11,0.152
http://opendatacommunities.org/id/geography/administration/lsoa/E01001161,Croydon 003D,0.293,0.19,34.035,0.662,41.19,18.853,0.33,0.47
http://opendatacommunities.org/id/geography/administration/lsoa/E01001162,Croydon 001D,0.171,0.127,16.265,0.048,37.681,28.83,0.204,0.211
http://opendatacommunities.org/id/geography/administration/lsoa/E01001163,Croydon 002E,0.09,0.068,7.185,-0.625,25.545,38.527,0.149,0.11
http://opendatacommunities.org/id/geography/administration/lsoa/E01001164,Croydon 001E,0.133,0.087,8.536,-0.419,33.903,30.175,0.231,0.194
http://opendatacommunities.org/id/geography/administration/lsoa/E01001165,Croydon 024C,0.125,0.095,14.689,-0.17,33.91,36.338,0.169,0.172
http://opendatacommunities.org/id/geography/administration/lsoa/E01001166,Croydon 024D,0.201,0.108,19.834,0.777,43.367,31.227,0.296,0.307
http://opendatacommunities.org/id/geography/administration/lsoa/E01001167,Croydon 028A,0.131,0.08,11.225,-0.061,35.614,32.091,0.187,0.167
http://opendatacommunities.org/id/geography/administration/lsoa/E01001168,Croydon 024E,0.099,0.061,13.242,0.087,33.707,42.319,0.133,0.125
http://opendatacommunities.org/id/geography/administration/lsoa/E01001169,Croydon 028B,0.214,0.14,29.027,0.594,37.639,24.03,0.251,0.283
http://opendatacommunities.org/id/geography/administration/lsoa/E01001170,Croydon 027E,0.147,0.113,8.827,0.436,32.654,41.051,0.167,0.199
http://opendatacommunities.org/id/geography/administration/lsoa/E01001171,Croydon 028C,0.152,0.114,18.315,-0.069,41.922,20.23,0.208,0.18
http://opendatacommunities.org/id/geography/administration/lsoa/E01001172,Croydon 028D,0.289,0.183,40.156,0.614,42.705,20.461,0.351,0.352
http://opendatacommunities.org/id/geography/administration/lsoa/E01001173,Croydon 028E,0.13,0.085,10.557,-0.012,37.138,17.055,0.19,0.158
http://opendatacommunities.org/id/geography/administration/lsoa/E01001174,Croydon 011A,0.153,0.087,18.196,-0.493,30.008,24.596,0.161,0.22
http://opendatacommunities.org/id/geography/administration/lsoa/E01001175,Croydon 011B,0.171,0.134,11.75,0.334,35.174,36.144,0.182,0.203
http://opendatacommunities.org/id/geography/administration/lsoa/E01001176,Croydon 011C,0.129,0.079,12.329,-0.476,37.202,32.146,0.132,0.186
http://opendatacommunities.org/id/geography/administration/lsoa/E01001177,Croydon 016C,0.192,0.141,16.347,0.341,39.33,31.371,0.21,0.239
http://opendatacommunities.org/id/geography/administration/lsoa/E01001178,Croydon 015D,0.419,0.219,32.458,1.296,47.333,32.465,0.572,0.538
http://opendatacommunities.org/id/geography/administration/lsoa/E01001179,Croydon 016D,0.129,0.067,13.224,-0.515,28.984,43.81,0.147,0.172
http://opendatacommunities.org/id/geography/administration/lsoa/E01001180,Croydon 016E,0.169,0.088,14.589,-0.251,34.982,50.916,0.195,0.244
http://opendatacommunities.org/id/geography/administration/lsoa/E01001181,Croydon 015E,0.25,0.155,20.034,0.595,46.141,46.81,0.262,0.413
http://opendatacommunities.org/id/geography/administration/lsoa/E01001182,Croydon 011D,0.128,0.078,14.168,-0.244,31.055,33.851,0.174,0.145
http://opendatacommunities.org/id/geography/administration/lsoa/E01001183,Croydon 011E,0.148,0.099,16.692,-0.389,36.72,28.592,0.166,0.244
http://opendatacommunities.org/id/geography/administration/lsoa/E01001184,Croydon 011F,0.103,0.067,10.378,-0.327,27.477,27.475,0.137,0.148
http://opendatacommunities.org/id/geography/administration/lsoa/E01001185,Croydon 014B,0.124,0.08,17.057,-0.141,32.225,26.714,0.19,0.166
http://opendatacommunities.org/id/geography/administration/lsoa/E01001186,Croydon 014C,0.186,0.136,17.502,0.32,37.395,26.57,0.204,0.262
http://opendatacommunities.org/id/geography/administration/lsoa/E01001187,Croydon 017E,0.124,0.09,14.263,-0.362,32.194,35.963,0.146,0.182
http://opendatacommunities.org/id/geography/administration/lsoa/E01001188,Croydon 014D,0.178,0.114,17.762,-0.008,33.772,31.23,0.257,0.213
http://opendatacommunities.org/id/geography/administration/lsoa/E01001189,Croydon 045B,0.101,0.098,12.54,-0.397,25.922,22.189,0.128,0.092
http://opendatacommunities.org/id/geography/administration/lsoa/E01001190,Croydon 045C,0.175,0.113,13.533,0.236,35.996,37.229,0.256,0.214
http://opendatacommunities.org/id/geography/administration/lsoa/E01001191,Croydon 008D,0.219,0.132,14.11,0.247,38.807,48.831,0.313,0.261
http://opendatacommunities.org/id/geography/administration/lsoa/E01001192,Croydon 008E,0.167,0.114,17.187,0.168,36.49,26.158,0.181,0.272
http://opendatacommunities.org/id/geography/administration/lsoa/E01001193,Croydon 014E,0.232,0.169,26.507,0.295,43.109,14.404,0.291,0.235
http://opendatacommunities.org/id/geography/administration/lsoa/E01001194,Croydon 045D,0.111,0.068,16.904,-0.374,23.569,27.808,0.174,0.145
http://opendatacommunities.org/id/geography/administration/lsoa/E01001195,Ealing 021A,0.085,0.033,10.441,-0.865,36.978,23.333,0.113,0.14
http://opendatacommunities.org/id/geography/administration/lsoa/E01001196,Ealing 015A,0.245,0.175,15.316,0.65,38.541,40.473,0.326,0.275
http://opendatacommunities.org/id/geography/administration/lsoa/E01001197,Ealing 021B,0.131,0.11,7.279,-0.014,33.653,30.943,0.107,0.223
http://opendatacommunities.org/id/geography/administration/lsoa/E01001198,Ealing 021C,0.072,0.068,2.203,-0.421,29.625,32.964,0.087,0.116
http://opendatacommunities.org/id/geography/administration/lsoa/E01001199,Ealing 021D,0.178,0.105,11.745,-0.048,31.141,22.304,0.266,0.264
http://opendatacommunities.org/id/geography/administration/lsoa/E01001200,Ealing 025A,0.085,0.072,3.514,-0.128,29.254,29.299,0.099,0.123
http://opendatacommunities.org/id/geography/administration/lsoa/E01001201,Ealing 025B,0.112,0.077,7.488,-0.557,29.408,34.545,0.155,0.202
http://opendatacommunities.org/id/geography/administration/lsoa/E01001202,Ealing 025C,0.207,0.138,11.356,0.087,38.443,38.75,0.229,0.353
http://opendatacommunities.org/id/geography/administration/lsoa/E01001203,Ealing 025D,0.222,0.15,10.312,0.394,37.315,39.622,0.234,0.418
http://opendatacommunities.org/id/geography/administration/lsoa/E01001204,Ealing 018A,0.114,0.069,2.248,-0.596,28.414,23.044,0.174,0.128
http://opendatacommunities.org/id/geography/administration/lsoa/E01001205,Ealing 018B,0.186,0.136,10.646,-0.28,53.57,25.289,0.179,0.241
http://opendatacommunities.org/id/geography/administration/lsoa/E01001206,Ealing 018C,0.314,0.19,27.99,0.033,55.874,18.46,0.374,0.393
http://opendatacommunities.org/id/geography/administration/lsoa/E01001207,Ealing 018D,0.095,0.066,3.76,-0.378,28.08,37.498,0.142,0.141
http://opendatacommunities.org/id/geography/administration/lsoa/E01001208,Ealing 018E,0.065,0.052,1.458,-0.88,19.995,36.809,0.069,0.099
http://opendatacommunities.org/id/geography/administration/lsoa/E01001209,Ealing 013A,0.045,0.037,0.767,-1.114,18.771,30.227,0.038,0.092
http://opendatacommunities.org/id/geography/administration/lsoa/E01001210,Ealing 016A,0.348,0.24,23.227,0.61,58.909,25.254,0.392,0.398
http://opendatacommunities.org/id/geography/administration/lsoa/E01001211,Ealing 013B,0.08,0.055,0.744,-0.826,25.563,17.234,0.059,0.158
http://opendatacommunities.org/id/geography/administration/lsoa/E01001212,Ealing 018F,0.079,0.085,1.671,-0.388,27.335,25.772,0.073,0.087
http://opendatacommunities.org/id/geography/administration/lsoa/E01001213,Ealing 023A,0.169,0.108,24.964,-0.054,38.603,31.374,0.21,0.296
http://opendatacommunities.org/id/geography/administration/lsoa/E01001214,Ealing 023B,0.086,0.079,17.225,-0.537,30.37,23.91,0.092,0.113
http://opendatacommunities.org/id/geography/administration/lsoa/E01001215,Ealing 023C,0.173,0.094,17.875,0.285,38.437,37.781,0.162,0.379
http://opendatacommunities.org/id/geography/administration/lsoa/E01001216,Ealing 023D,0.117,0.071,15.428,-0.258,39.759,36.939,0.105,0.174
http://opendatacommunities.org/id/geography/administration/lsoa/E01001217,Ealing 014A,0.113,0.063,13.12,-0.509,28.68,23.666,0.143,0.16
http://opendatacommunities.org/id/geography/administration/lsoa/E01001218,Ealing 012A,0.24,0.135,22.895,0.527,51.89,20.314,0.252,0.446
http://opendatacommunities.org/id/geography/administration/lsoa/E01001219,Ealing 029A,0.243,0.159,25.18,0.16,51.234,20.309,0.224,0.433
http://opendatacommunities.org/id/geography/administration/lsoa/E01001220,Ealing 029B,0.325,0.192,31.433,0.11,51.978,28.726,0.311,0.47
http://opendatacommunities.org/id/geography/administration/lsoa/E01001221,Ealing 020A,0.135,0.069,14.256,-0.269,36.375,34.788,0.216,0.345
http://opendatacommunities.org/id/geography/administration/lsoa/E01001222,Ealing 019A,0.125,0.081,6.483,-0.313,36.123,46.085,0.154,0.271
http://opendatacommunities.org/id/geography/administration/lsoa/E01001223,Ealing 020B,0.062,0.058,0.566,-0.564,33.57,25.581,0.059,0.092
http://opendatacommunities.org/id/geography/administration/lsoa/E01001224,Ealing 019B,0.045,0.044,0.327,-0.858,24.473,36.929,0.069,0.052
http://opendatacommunities.org/id/geography/administration/lsoa/E01001225,Ealing 020C,0.109,0.075,2.265,-0.499,31.876,39.465,0.125,0.19
http://opendatacommunities.org/id/geography/administration/lsoa/E01001226,Ealing 019C,0.078,0.058,1.939,-0.225,36.113,23.364,0.08,0.132
http://opendatacommunities.org/id/geography/administration/lsoa/E01001227,Ealing 019D,0.054,0.053,0.669,-0.926,27.991,33.142,0.046,0.078
http://opendatacommunities.org/id/geography/administration/lsoa/E01001228,Ealing 019E,0.076,0.043,2.026,-0.293,35.171,18.531,0.099,0.156
http://opendatacommunities.org/id/geography/administration/lsoa/E01001229,Ealing 031A,0.198,0.136,19.319,0.186,37.531,26.773,0.208,0.318
http://opendatacommunities.org/id/geography/administration/lsoa/E01001230,Ealing 031B,0.112,0.123,6.24,-0.515,31.454,39.828,0.093,0.099
http://opendatacommunities.org/id/geography/administration/lsoa/E01001231,Ealing 027A,0.058,0.031,2.267,-1.213,38.322,38.445,0.108,0.071
http://opendatacommunities.org/id/geography/administration/lsoa/E01001232,Ealing 031C,0.125,0.105,10.07,-0.178,45.993,21.127,0.106,0.196
http://opendatacommunities.org/id/geography/administration/lsoa/E01001233,Ealing 031D,0.164,0.11,3.41,-0.12,29.49,26.932,0.17,0.333
http://opendatacommunities.org/id/geography/administration/lsoa/E01001234,Ealing 027B,0.103,0.059,5.093,-0.411,36.866,52.014,0.219,0.16
http://opendatacommunities.org/id/geography/administration/lsoa/E01001235,Ealing 020D,0.078,0.051,7.143,-0.501,26.613,28.805,0.092,0.156
http://opendatacommunities.org/id/geography/administration/lsoa/E01001236,Ealing 020E,0.121,0.054,7.674,-0.409,32.614,31.408,0.16,0.248
http://opendatacommunities.org/id/geography/administration/lsoa/E01001237,Ealing 031E,0.062,0.041,1.512,-0.163,36.914,36.875,0.056,0.16
http://opendatacommunities.org/id/geography/administration/lsoa/E01001238,Ealing 015B,0.125,0.067,15.067,-0.562,55.543,40.163,0.277,0.336
http://opendatacommunities.org/id/geography/administration/lsoa/E01001239,Ealing 015C,0.206,0.134,16.446,0.145,58.732,23.239,0.34,0.251
http://opendatacommunities.org/id/geography/administration/lsoa/E01001240,Ealing 024A,0.133,0.067,14.097,-0.482,38.914,31.348,0.186,0.237
http://opendatacommunities.org/id/geography/administration/lsoa/E01001241,Ealing 024B,0.123,0.068,7.447,-0.513,35.983,30.872,0.249,0.171
http://opendatacommunities.org/id/geography/administration/lsoa/E01001242,Ealing 024C,0.15,0.118,13.821,0.052,38.889,31.886,0.153,0.225
http://opendatacommunities.org/id/geography/administration/lsoa/E01001243,Ealing 024D,0.16,0.097,10.713,-0.724,39.908,39.369,0.166,0.304
http://opendatacommunities.org/id/geography/administration/lsoa/E01001244,Ealing 024E,0.188,0.103,10.089,0.003,45.313,43.737,0.216,0.402
http://opendatacommunities.org/id/geography/administration/lsoa/E01001245,Ealing 024F,0.099,0.057,5.3,-0.547,29.718,34.669,0.133,0.213
http://opendatacommunities.org/id/geography/administration/lsoa/E01001246,Ealing 015D,0.2,0.117,18.964,-0.339,45.591,45.732,0.331,0.221
http://opendatacommunities.org/id/geography/administration/lsoa/E01001247,Ealing 015E,0.119,0.063,12.246,-0.265,45.088,28.719,0.18,0.218
http://opendatacommunities.org/id/geography/administration/lsoa/E01001248,Ealing 035A,0.125,0.085,9.809,-0.452,28.422,24.092,0.13,0.195
http://opendatacommunities.org/id/geography/administration/lsoa/E01001249,Ealing 028A,0.27,0.176,14.648,0.573,40.063,38.77,0.304,0.552
http://opendatacommunities.org/id/geography/administration/lsoa/E01001250,Ealing 028B,0.229,0.188,16.974,0.526,36.613,32.788,0.257,0.298
http://opendatacommunities.org/id/geography/administration/lsoa/E01001251,Ealing 030A,0.117,0.082,3.635,-0.225,27.963,39.924,0.159,0.132
http://opendatacommunities.org/id/geography/administration/lsoa/E01001252,Ealing 030B,0.165,0.111,9.41,0.11,35.712,38.212,0.188,0.27
http://opendatacommunities.org/id/geography/administration/lsoa/E01001253,Ealing 030C,0.125,0.075,5.68,-0.488,30.578,24.226,0.162,0.159
http://opendatacommunities.org/id/geography/administration/lsoa/E01001254,Ealing 030D,0.102,0.064,3.72,-0.464,30.525,29.602,0.099,0.216
http://opendatacommunities.org/id/geography/administration/lsoa/E01001255,Ealing 028C,0.065,0.073,3.266,-0.632,23.694,33.847,0.036,0.122
http://opendatacommunities.org/id/geography/administration/lsoa/E01001257,Ealing 008A,0.274,0.177,30.508,0.229,49.728,21.379,0.291,0.374
http://opendatacommunities.org/id/geography/administration/lsoa/E01001258,Ealing 010B,0.099,0.075,11.29,-0.542,29.103,29.257,0.11,0.173
http://opendatacommunities.org/id/geography/administration/lsoa/E01001259,Ealing 014B,0.126,0.066,16.107,-0.327,30.366,29.81,0.16,0.231
http://opendatacommunities.org/id/geography/administration/lsoa/E01001260,Ealing 012B,0.103,0.065,8.329,-0.192,30.243,36.628,0.084,0.208
http://opendatacommunities.org/id/geography/administration/lsoa/E01001261,Ealing 012C,0.126,0.083,14.781,-0.676,38.36,39.008,0.124,0.252
http://opendatacommunities.org/id/geography/administration/lsoa/E01001262,Ealing 010C,0.214,0.129,20.258,-0.039,41.16,28.503,0.271,0.275
http://opendatacommunities.org/id/geography/administration/lsoa/E01001263,Ealing 010D,0.24,0.156,18.18,0.13,44.471,26.171,0.277,0.27
http://opendatacommunities.org/id/geography/administration/lsoa/E01001264,Ealing 010E,0.14,0.115,23.537,-0.787,39.156,27.105,0.148,0.165
http://opendatacommunities.org/id/geography/administration/lsoa/E01001265,Ealing 006A,0.095,0.076,10.867,-0.438,56.208,21.927,0.123,0.139
http://opendatacommunities.org/id/geography/administration/lsoa/E01001266,Ealing 006B,0.091,0.056,10.11,-0.675,37.866,28.3,0.108,0.126
http://opendatacommunities.org/id/geography/administration/lsoa/E01001267,Ealing 006C,0.222,0.126,15.779,-0.019,45.353,32.736,0.246,0.377
http://opendatacommunities.org/id/geography/administration/lsoa/E01001268,Ealing 012D,0.107,0.082,8.555,0.051,30.915,30.712,0.114,0.163
http://opendatacommunities.org/id/geography/administration/lsoa/E01001269,Ealing 001A,0.066,0.049,11.358,-1.355,31.507,35.486,0.071,0.123
http://opendatacommunities.org/id/geography/administration/lsoa/E01001270,Ealing 004A,0.098,0.061,8.434,-0.691,32.266,23.806,0.103,0.182
http://opendatacommunities.org/id/geography/administration/lsoa/E01001271,Ealing 001B,0.117,0.07,18.002,-0.864,29.917,26.154,0.155,0.187
http://opendatacommunities.org/id/geography/administration/lsoa/E01001272,Ealing 006D,0.099,0.068,7.384,-0.418,40.673,35.502,0.109,0.154
http://opendatacommunities.org/id/geography/administration/lsoa/E01001273,Ealing 020F,0.045,0.033,2.153,-1.152,29.45,30.917,0.051,0.086
http://opendatacommunities.org/id/geography/administration/lsoa/E01001274,Ealing 020G,0.048,0.038,6.53,-1.333,32.697,18.633,0.047,0.103
http://opendatacommunities.org/id/geography/administration/lsoa/E01001275,Ealing 020H,0.091,0.08,6.142,-0.348,36.436,31.212,0.072,0.154
http://opendatacommunities.org/id/geography/administration/lsoa/E01001276,Ealing 011A,0.128,0.071,12.366,-0.814,44.773,31.642,0.179,0.177
http://opendatacommunities.org/id/geography/administration/lsoa/E01001277,Ealing 011B,0.108,0.052,8,-0.84,38.916,39.184,0.149,0.159
http://opendatacommunities.org/id/geography/administration/lsoa/E01001278,Ealing 011C,0.135,0.061,12.057,-0.724,40.337,52.502,0.236,0.176
http://opendatacommunities.org/id/geography/administration/lsoa/E01001279,Ealing 013C,0.028,0.031,0.358,-0.877,21.905,35.101,0.034,0.04
http://opendatacommunities.org/id/geography/administration/lsoa/E01001280,Ealing 011D,0.079,0.043,6.333,-0.886,38.65,30.658,0.09,0.186
http://opendatacommunities.org/id/geography/administration/lsoa/E01001281,Ealing 013D,0.041,0.035,0.234,-0.929,21.497,34.729,0.028,0.091
http://opendatacommunities.org/id/geography/administration/lsoa/E01001282,Ealing 016B,0.237,0.173,18.61,0.234,43.932,26.699,0.234,0.36
http://opendatacommunities.org/id/geography/administration/lsoa/E01001283,Ealing 016C,0.274,0.196,17.047,0.43,37.718,32.592,0.259,0.419
http://opendatacommunities.org/id/geography/administration/lsoa/E01001284,Ealing 022A,0.076,0.06,9.884,-0.513,23.35,33.419,0.078,0.119
http://opendatacommunities.org/id/geography/administration/lsoa/E01001285,Ealing 016D,0.154,0.116,14.88,-0.299,30.882,30.631,0.148,0.209
http://opendatacommunities.org/id/geography/administration/lsoa/E01001286,Ealing 016E,0.149,0.107,14.007,-0.06,37.204,27.988,0.151,0.219
http://opendatacommunities.org/id/geography/administration/lsoa/E01001287,Ealing 016F,0.266,0.156,14.981,-0.334,40.976,19.434,0.337,0.294
http://opendatacommunities.org/id/geography/administration/lsoa/E01001288,Ealing 022B,0.1,0.079,3.032,-0.341,26.283,37.044,0.104,0.176
http://opendatacommunities.org/id/geography/administration/lsoa/E01001289,Ealing 022C,0.095,0.073,2.553,-0.477,29.056,38.847,0.101,0.139
http://opendatacommunities.org/id/geography/administration/lsoa/E01001290,Ealing 022D,0.076,0.059,2.638,-0.554,29.074,31.355,0.091,0.101
http://opendatacommunities.org/id/geography/administration/lsoa/E01001291,Ealing 014C,0.129,0.098,11.864,-0.679,32.568,23.485,0.155,0.174
http://opendatacommunities.org/id/geography/administration/lsoa/E01001292,Ealing 014D,0.086,0.064,9.379,-0.694,27.63,28.178,0.095,0.152
http://opendatacommunities.org/id/geography/administration/lsoa/E01001293,Ealing 014E,0.113,0.081,11.515,-0.227,33.573,21.563,0.1,0.215
http://opendatacommunities.org/id/geography/administration/lsoa/E01001294,Ealing 017A,0.156,0.088,17.799,-0.198,31.262,24.131,0.178,0.236
http://opendatacommunities.org/id/geography/administration/lsoa/E01001295,Ealing 017B,0.124,0.074,11.963,-0.416,30.559,28.311,0.147,0.202
http://opendatacommunities.org/id/geography/administration/lsoa/E01001296,Ealing 017C,0.14,0.111,16.299,0.029,30.735,24.341,0.139,0.186
http://opendatacommunities.org/id/geography/administration/lsoa/E01001297,Ealing 017D,0.144,0.11,15.442,0.147,33.311,22.219,0.147,0.264
http://opendatacommunities.org/id/geography/administration/lsoa/E01001298,Ealing 017E,0.163,0.108,16.977,0.808,35.826,26.98,0.159,0.249
http://opendatacommunities.org/id/geography/administration/lsoa/E01001299,Ealing 035B,0.052,0.049,1.762,-1.157,22.212,28.03,0.065,0.07
http://opendatacommunities.org/id/geography/administration/lsoa/E01001300,Ealing 039A,0.044,0.037,1.779,-0.908,20.099,34.665,0.03,0.129
http://opendatacommunities.org/id/geography/administration/lsoa/E01001301,Ealing 039B,0.118,0.072,4.637,0.17,28.743,31.044,0.134,0.281
http://opendatacommunities.org/id/geography/administration/lsoa/E01001302,Ealing 039C,0.059,0.047,1.32,-0.946,23.763,33.08,0.084,0.085
http://opendatacommunities.org/id/geography/administration/lsoa/E01001303,Ealing 032A,0.051,0.034,0.703,-1.107,21.53,44.256,0.064,0.076
http://opendatacommunities.org/id/geography/administration/lsoa/E01001304,Ealing 039D,0.097,0.069,1.745,-0.365,24.932,32.505,0.089,0.301
http://opendatacommunities.org/id/geography/administration/lsoa/E01001305,Ealing 035C,0.046,0.049,0.616,-0.78,20.523,26.956,0.04,0.073
http://opendatacommunities.org/id/geography/administration/lsoa/E01001306,Ealing 035D,0.056,0.033,1.094,-0.781,21.892,33.74,0.076,0.087
http://opendatacommunities.org/id/geography/administration/lsoa/E01001307,Ealing 002A,0.067,0.041,9.698,-1.218,28.513,28.347,0.073,0.149
http://opendatacommunities.org/id/geography/administration/lsoa/E01001308,Ealing 002B,0.069,0.034,8.282,-1.159,34.059,23.575,0.055,0.171
http://opendatacommunities.org/id/geography/administration/lsoa/E01001309,Ealing 001C,0.095,0.045,11.311,-0.799,32.069,28.41,0.142,0.133
http://opendatacommunities.org/id/geography/administration/lsoa/E01001310,Ealing 001D,0.125,0.07,14.944,-0.598,36.342,26.913,0.163,0.218
http://opendatacommunities.org/id/geography/administration/lsoa/E01001311,Ealing 001E,0.204,0.129,21.661,-0.169,46.917,15.225,0.245,0.281
http://opendatacommunities.org/id/geography/administration/lsoa/E01001312,Ealing 002C,0.105,0.065,11.654,-0.799,32.467,34.068,0.13,0.157
http://opendatacommunities.org/id/geography/administration/lsoa/E01001313,Ealing 002D,0.089,0.053,8.993,-0.962,33.317,26.825,0.112,0.137
http://opendatacommunities.org/id/geography/administration/lsoa/E01001314,Ealing 002E,0.063,0.043,7.103,-1.005,31.819,26.547,0.059,0.161
http://opendatacommunities.org/id/geography/administration/lsoa/E01001315,Ealing 003A,0.123,0.073,14.858,-0.712,37.099,20.767,0.151,0.213
http://opendatacommunities.org/id/geography/administration/lsoa/E01001316,Ealing 003B,0.221,0.133,20.732,0.03,45.312,24.336,0.302,0.289
http://opendatacommunities.org/id/geography/administration/lsoa/E01001317,Ealing 003C,0.165,0.105,21.912,-0.191,43.254,25.08,0.182,0.254
http://opendatacommunities.org/id/geography/administration/lsoa/E01001318,Ealing 003D,0.247,0.14,23.479,0.257,44.686,22.476,0.26,0.447
http://opendatacommunities.org/id/geography/administration/lsoa/E01001319,Ealing 004B,0.11,0.067,19.152,-0.73,39.693,23.938,0.159,0.144
